ID_Equipo,Nombre,Ubicacion,Categoria,Propietario,Contenedor,Estado,Notas,Metadatos
P-PLA-CH1,Chupete Jirafa 2,Plataforma,Plataforma,Circuito ER2,,,,
P-PLA-SPMIC1,Soporte Mic 1,Plataforma,Plataforma,Circuito ER2,,,,
P-PLA-SPMIC1,Soporte Mic 2,Plataforma,Plataforma,Circuito ER2,,,,
P-PLA-ADES,Antideslizante Atril,Plataforma,Plataforma,Circuito ER2,,,,
P-PLA-CRON,Cronómetro,Plataforma,Plataforma,Circuito ER2,,,,
E-AURK-F5vU,Fuente DC 5v 2a USB,Auditorio-Rack,Electricidad,Circuito ER2,,,,
E-AURK-F5v,Fuente DC 5v 2a ,Auditorio-Rack,Electricidad,Circuito ER2,,,,
E-AUX-F5vU,Fuente DC 5v 2a USB,Auditorio Auxiliar,Electricidad,Circuito ER2,,,,
E-AUX-FCON,Fuente Consola Wharfedale,Auditorio Auxiliar,Electricidad,Circuito ER2,,,,
V-AUX-HDMISP,Splitter HDMI,Auditorio Auxiliar,Video,Julio Aristimunio,,,,
VID-PAX-TV,Televisor analógico,Primeros Auxilios PB,Video,Provisto por departamento,,Guardado,,{}
E-FOH-F12V2,Fuente DC 12v 2a 2,FOH,Electricidad,Abel Bourband,,Guardado,,{}
E-FOH-TAB,Tablero 63A ,FOH,Electricidad,Circuito,,,,
