ID_Patch,ID_Origen,Puerto_Origen,ID_Destino,Puerto_Destino,Tipo_Senial,Estado,Notas,Metadatos
V-FORK-PC/A-FORK-JK3RCA,V-FORK-PC,Headset Out,A-FORK-JK3RCA,"3,5 Jack TRSS",Audio Line,Desconectado,,{}
V-FORK-PC/V-FORK-HDMISP,V-FORK-PC,HDMI 2 (DisplayPort),V-FORK-HDMISP,HDMI In,Video HDMI,Desconectado,,{}
A-FORK-MEDH/A-FOH-SPRJ,A-FORK-MEDH,RJ45 Out,A-FOH-SPRJ,RJ45 In,Audio Line,Desconectado,,{}
A-FOH-SPRJ/A-DL1-SPRJ,A-FOH-SPRJ,RJ45 Out 1,A-DL1-SPRJ,RJ45 In,Audio Line,Desconectado,,{}
A-FOH-SPRJ/A-CPA-SPRJ,A-FOH-SPRJ,RJ45 Out 2,A-CPA-SPRJ,RJ45 In,Audio Line,Desconectado,,{}
A-CPA-SPRJ/A-CPA-SPK1,A-CPA-SPRJ,RJ45 Out 1,A-CPA-SPK1,Input,Audio Line,Desconectado,,{}
A-CPA-SPRJ/A-FOH-CPRJ1,A-CPA-SPRJ,RJ45 In,A-FOH-CPRJ1,RJ45 Out,Audio Line,Desconectado,,{}
A-FOH-CPRJ1/A-AUX-CONS,A-FOH-CPRJ1,RJ45 Out,A-AUX-CONS,Line In 1,Audio Line,Desconectado,,{}
A-DL1-SPRJ/A-DL2-CPRJ,A-DL1-SPRJ,RJ45 Out 1,A-DL2-CPRJ,RJ45 In,Audio Line,Desconectado,,{}
A-DL1-SPRJ/A-DL1-SPXLR,A-DL1-SPRJ,RJ45  Out 2,A-DL1-SPXLR,RJ45 In,Audio Line,Desconectado,,{}
A-DL1-SPXLR/A-DL1-SPK1,A-DL1-SPXLR,XLR Out 1,A-DL1-SPK1,Input,Audio Line,Desconectado,,{}
A-DL1-SPXLR/A-DL1-SPK2,A-DL1-SPXLR,XLR Out 2,A-DL1-SPK2,Input,Audio Line,Desconectado,,{}
A-DL2-CPRJ/A-DL2-SPXLR,A-DL2-CPRJ,RJ45 Out,A-DL2-SPXLR,RJ45 In,Audio Line,Desconectado,,{}
A-DL2-SPXLR/A-DL2-SPK1,A-DL2-SPXLR,XLR Out 1,A-DL2-SPK1,Input,Audio Line,Desconectado,,{}
A-DL2-SPXLR/A-DL2-SPK2,A-DL2-SPXLR,XLR Out 2,A-DL2-SPK2,Input,Audio Line,Desconectado,,{}
V-AUX-SDIHDMI/V-AUX-HDMISP,V-AUX-SDIHDMI,HDMI Out,V-AUX-HDMISP,HDMI In,Video HDMI,Desconectado,,{}
E-AUX-F5vU/V-AUX-SDIHDMI,E-AUX-F5vU,DC 5v Out,V-AUX-SDIHDMI,DC In,Electricidad DC 5v,Desconectado,,{}
E-AUX-FCON/A-AUX-CONS,E-AUX-FCON,DC Out,A-AUX-CONS,DC In,Electricidad DC,Desconectado,,{}
A-AUX-CONS/A-CPB-SPK2,A-AUX-CONS,Line Out,A-CPB-SPK2,Input,Audio Line,Desconectado,,{}
V-FOH-KBD/V-FORK-PC,V-FOH-KBD,USB,V-FORK-PC,USB,USB,Desconectado,,{}
V-FOH-MSE/V-FORK-PC,V-FOH-MSE,USB,V-FORK-PC,USB,USB,Desconectado,,{}
V-FORK-PC/V-FOH-MON,V-FORK-PC,HDMI Out,V-FOH-MON,HDMI In,Video HDMI,Desconectado,,{}
V-PB-COAX1/V-REC-SPLT,V-PB-COAX1,Out,V-REC-SPLT,In,Video RF analógico,Desconectado,,{}
V-REC-SPLT/V-REC-TV,V-REC-SPLT,Out 1,V-REC-TV,Cable In,Video RF analógico,Desconectado,,{}
V-REC-SPLT/VID-PAX-TV,V-REC-SPLT,Out 2,VID-PAX-TV,Cable In,Video RF analógico,Desconectado,,{}
A-FORK-CON/A-PLA-SPK4-1,A-FORK-CON,AUX Out 1,A-PLA-SPK4,"Jack 1/4"" In",Audio Line,Desconectado,Salida PA,{}
A-FORK-CON/A-PLA-SPK1,A-FORK-CON,AUX Out 2,A-PLA-SPK1,Input,Audio Line,Desconectado,Salida a monitores plataforma,{}
A-PLA-SPK1/A-PLA-SPK2,A-PLA-SPK1,Loop Out,A-PLA-SPK2,Input,Audio Line,Desconectado,,{}
A-PLA-SPK4/A-PLA-SPK3,A-PLA-SPK4,Loop Out,A-PLA-SPK3,Input,Audio Line,Desconectado,Front fill,{}
A-PLA-SPK3/A-PLA-SPK5,A-PLA-SPK3,Loop  Out,A-PLA-SPK5,Input,Audio Line,Desconectado,,{}
E-FOH-ILK1/A-FOH-RACK,E-FOH-ILK1,AC 220v Out,A-FOH-RACK,AC 220v In 1,Electricidad AC 220v,Desconectado,,{}
E-FOH-ILK2/A-FOH-RACK,E-FOH-ILK2,AC 220v Out,A-FOH-RACK,AC 220v In 2,Electricidad AC 220v,Desconectado,,{}
E-FOH-TAB/E-FOH-ILK1,E-FOH-TAB,Toma 220v 1,E-FOH-ILK1,AC 220v In,Electricidad AC 220v,Desconectado,,{}
E-FOH-TAB/E-FOH-ILK2,E-FOH-TAB,Toma 220v 2,E-FOH-ILK2,AC 220v In,Electricidad AC 220v,Desconectado,,{}
E-FOH-TAB/E-FOH-F12V1,E-FOH-TAB,Toma  220v 3,E-FOH-F12V1,AC 220v In,Electricidad AC 220v,Desconectado,,{}
E-FOH-TAB/E-FOH-F12V2,E-FOH-TAB,Toma 220v 4,E-FOH-F12V2,AC 220v In,Electricidad AC 220v,Desconectado,,{}
E-FOH-F12V2/V-FOH-MON,E-FOH-F12V2,DC 12v Out,V-FOH-MON,DC In,Electricidad DC 12v,Desconectado,,{}
V-FOH-CAMS/V-FOH-CAMPTZ,V-FOH-CAMS,DC 12v Out,V-FOH-CAMPTZ,DC In,Electricidad DC 12v,Desconectado,,{}
E-FOH-AL17/E-DLY1-ILK1,E-FOH-AL17,Toma 220v,E-DLY1-ILK1,AC 220v In,Electricidad AC 220v,Desconectado,,{}
E-FOH-AL18/E-DLY1-ILK2,E-FOH-AL18,Toma 220v,E-DLY1-ILK2,AC 220v In,Electricidad AC 220v,Desconectado,,{}
