Ref,Equipo,Puerto origen,Señal,Conexión,Destino,Puerto destino,Observaciones
78,Bafle fondo izq,In,Audio line,"XLR Y 7.5/10/28 (punta 28m)
XLR M/H 34m",Mixer Behringer XR12,Main out R,
79,Bafle fondo der ,Power,Power,Interlock,Tomas,,
80,Bafle fondo der ,In,Audio line,"XLR Y 7.5/10/28 (punta 10m)
XLR M/H 44m",Mixer Behringer XR12,Main out R,
81,Bafle salón aux,Power,Power,Interlock,Tomas,,
82,Bafle salón aux,Line In,Audio line,"Auricular 3,5mm - 2 RCA",Monitor SDI 1,Phones,
83,Monitor PC,Power,Power,Fuente,Zapatilla FOH,,
84,Monitor PC,HDMI,Video HDMI,"Adaptador DVI-HDMI
HDMI",PC Video,DVI,
89,Raspberry Pi 1,Power,Power,Fuente USB 3A,Tomas,,
90,Raspberry Pi 2,HDMI,Video HDMI,HDMI,,,
91,Raspberry Pi 3,Phones,Audio line,"Auricular 3,5mm - 2 RCA",Amplificador pasillos,,
92,Raspberry Pi 2,,,,,,
